date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2019-06-05,200,200,199,0.995,0.45837688442211055,67,0.335
2019-06-06,200,200,195,0.975,0.4748969230769231,62,0.31
2019-06-07,200,200,196,0.98,0.5020224489795918,57,0.285
2019-06-08,200,200,197,0.985,0.5008294416243655,55,0.275
2019-06-09,200,200,196,0.98,0.4872270408163265,58,0.29
2019-06-10,200,200,196,0.98,0.477509693877551,58,0.29
2019-06-11,200,200,196,0.98,0.48642755102040813,49,0.245
2019-06-12,200,200,197,0.985,0.5018878172588832,49,0.245
2019-07-01,200,200,191,0.955,0.45894554973821994,60,0.3
2019-07-02,200,200,195,0.975,0.47512,61,0.305
2019-07-03,200,200,196,0.98,0.45884030612244897,65,0.325
2019-07-04,200,200,197,0.985,0.45910558375634514,64,0.32
2019-07-05,200,200,199,0.995,0.46007537688442207,65,0.325
2019-07-06,200,200,198,0.99,0.4708732323232323,65,0.325
2019-07-07,200,200,196,0.98,0.4942112244897959,58,0.29
2019-07-08,200,200,196,0.98,0.5019647959183673,55,0.275
2019-07-09,200,200,197,0.985,0.49982487309644674,54,0.27
2019-07-10,200,200,197,0.985,0.4844243654822335,56,0.28
2019-07-11,200,200,195,0.975,0.4873338461538462,49,0.245
2019-07-12,200,200,197,0.985,0.507684771573604,50,0.25
2019-08-01,200,200,192,0.96,0.45643020833333336,58,0.29
2019-08-02,200,200,196,0.98,0.4739209183673469,57,0.285
2019-08-03,200,200,196,0.98,0.470840306122449,60,0.3
2019-08-04,200,200,198,0.99,0.449919696969697,66,0.33
2019-08-05,200,200,199,0.995,0.45721608040201006,66,0.33
2019-08-06,200,200,196,0.98,0.4724535714285714,64,0.32
2019-08-07,200,200,197,0.985,0.4789258883248731,61,0.305
2019-08-08,200,200,197,0.985,0.5063065989847716,54,0.27
2019-08-09,200,200,196,0.98,0.4849719387755102,58,0.29
2019-08-10,200,200,197,0.985,0.4874055837563452,55,0.275
2019-08-11,200,200,196,0.98,0.4743117346938776,53,0.265
2019-08-12,200,200,197,0.985,0.5107675126903554,50,0.25
2019-09-01,200,200,191,0.955,0.4561890052356021,60,0.3
2019-09-02,200,200,196,0.98,0.47132704081632654,60,0.3
2019-09-03,200,200,195,0.975,0.47655384615384616,59,0.295
2019-09-04,200,200,198,0.99,0.4558626262626263,68,0.34
2019-09-05,200,200,199,0.995,0.46713567839195974,64,0.32
2019-09-06,200,200,196,0.98,0.48496377551020403,60,0.3
2019-09-07,200,200,197,0.985,0.4843269035532995,60,0.3
2019-09-08,200,200,198,0.99,0.499729797979798,55,0.275
2019-09-09,200,200,197,0.985,0.481743654822335,60,0.3
2019-09-10,200,200,197,0.985,0.4885578680203046,54,0.27
2019-09-11,200,200,196,0.98,0.48809744897959184,50,0.25
2019-09-12,200,200,196,0.98,0.4912188775510204,51,0.255
2019-10-01,200,200,194,0.97,0.4582231958762887,58,0.29
